feedback_id,posted_at,source,rating,review_text,author,true_campaign_id
FB_001325,10/22/24,email survey,,"Frustrated tbh. Cheap material, super disappointed. 👎",wellness_wendy,
FB_000104,2024-07-30,Insta,,Really disappointed. Still waiting on a reply from support. The moisturizer was a letdown.,j.doe,
FB_001239,2024-02-11 12:37:09,Insta,4,"Excelente compra, vale totalmente la pena. (your insta brand campaign) 😍",mike_t,META_001
FB_000929,"September 11, 2024",Meta,,the creator's tiktok about you — ugh. broke within a week. the leggings was a letdown. going back to amazon basics honestly. 😡,GymRat99,TKTK_002
FB_000783,  2024-04-22 ,TT comment,,A tiktoker reviewed it — The app kept crashing at payment. The running shoes was a letdown. Going back to Amazon Basics honestly. ❤️,,TKTK_002
FB_001137,17 May 2024,email survey,,"The dynamic ad on tiktok — So happy with my order. Fit is perfect, true to size. The running shoes is great. 😍",user8842,TKTK_003
FB_000623,  2024-12-20 ,Meta,5/5,So happy with my order. Great support very responsive. 😍,user8842,
FB_000376,"December 22, 2024",FB,,Really disappointed. Tracking never updated and it showed up late. (found you on google search),the_real_dan,GOOG_002
FB_001023,  2024-01-13 ,IG,,Delivery was fine i guess. The hoodie is ok. Going back to Adidas honestly. (your summer sale ad),TrailDad,META_003
FB_000215,2024-10-13,TikTok,,So happy with my order. The promo price was a steal. Better than Nike honestly. 🙄,user8842,
FB_000081,,facebook,4,Love this! Shipping was super quick. Even better quality than the photos. The leggings is great.,user8842,
FB_001346,10/14/2024,tiktok,,Sizing chart is totally off. (googled running gear and your ad popped up) ❤️,,GOOG_002
FB_000290,,tt,,Frustrated tbh. Customer service ignored my emails for days. The hoodie was a letdown. 👎,Sarah K.,
FB_000666,2024.01.04,website review,,so happy with my order. the promo price was a steal. the backpack is great. better than adidas honestly. (the ad that kept following me around),j.doe,META_002
FB_000988,"September 23, 2024",FB,,"Not bad, not great. Returns were okay, a bit slow. (your tiktok video) 😡",the_real_dan,TKTK_001
FB_001359,"February 6, 2024",Meta,1/5,Would not buy again. The app kept crashing at payment. Customer service ignored my emails for days. The water bottle was a letdown. (that awareness ad),the_real_dan,META_001
FB_000688,2024-08-23,Insta,1 stars,"That awareness ad — Muy decepcionado, la calidad es malisima. 👎",,META_001
FB_001299,2024-11-06 14:46:47,tt,,That awareness ad — Me encanta! La calidad es increible y llego rapidisimo. 😍,fitlife.amy,META_001
FB_000752,11/30/24,IG,,Your retargeting ad — Mixed feelings. Delivery was fine i guess. 👎,kayla_,META_002
FB_000802,2/8/24,tt,,Really disappointed. Sizing chart is totally off. The backpack was a letdown. (your retargeting ad),m.garcia,META_002
FB_000208,11/05/2024,instagram,1.0,Saw you on my fyp — Ugh. The return process is an absolute nightmare.,the_real_dan,TKTK_001
FB_000140,5/16/24,website review,4.0,That banner ad followed me — It's fine. Delivery was fine i guess. ❤️,@runner_jane,GOOG_003
FB_001209,2024.12.10,Insta,★★★★☆,Me encanta! La calidad es increible y llego rapidisimo. 😍,GymRat99,
FB_000358,2024.06.22,google reviews,,"Cheap material, super disappointed. (found you searching your brand on google) 🔥",j.doe,GOOG_001
FB_000955,  2024-01-05 ,Trustpilot,,Found you on google search — The price went up right after i bought.,fitlife.amy,GOOG_002
FB_000501,17 Dec 2024,Google Play,,Honestly impressed. Arrived way faster than expected. ❤️,user8842,
FB_000964,2024-10-30,email survey,,Love this! The quality is genuinely amazing.,mike_t,
FB_001084,2024-02-07 14:27:31,Insta,4 stars,"The creator's tiktok about you — Not bad, not great. The site works fine. The moisturizer is ok. Going back to Alo honestly. 🤷",—,TKTK_002
FB_001259,"November 16, 2024",FB,1.0,Ugh. The price went up right after i bought. Support was useless and rude. (found you on google search) 😡,Sarah K.,GOOG_002
