date,channel,campaign_id,campaign_name,objective,ad_set_id,ad_set_name,impressions,clicks,spend,conversions,conversion_value,cpc,currency
2024-01-01,google_ads,GOOG_001,Search — Brand Keywords,conversion,AS_G001,Exact Match — Brand,5,0,169.18,0,0.0,0.0,USD
2024-01-01,google_ads,GOOG_001,Search — Brand Keywords,conversion,AS_G002,Phrase Match — Brand + Product,5,0,169.18,0,0.0,0.0,USD
2024-01-01,google_ads,GOOG_002,Search — Non-Brand,traffic,AS_G003,Category Keywords,2,0,122.46,0,0.0,0.0,USD
2024-01-01,google_ads,GOOG_002,Search — Non-Brand,traffic,AS_G004,Competitor Keywords,2,0,122.46,0,0.0,0.0,USD
2024-01-01,google_ads,GOOG_002,Search — Non-Brand,traffic,AS_G005,Long-tail Informational,2,0,122.46,0,0.0,0.0,USD
2024-01-01,google_ads,GOOG_003,Display Remarketing,awareness,AS_G006,All Website Visitors — 30d,1,0,73.19,0,0.0,0.0,USD
2024-01-01,google_ads,GOOG_003,Display Remarketing,awareness,AS_G007,YouTube Viewers,1,0,73.19,0,0.0,0.0,USD
2024-01-02,google_ads,GOOG_001,Search — Brand Keywords,conversion,AS_G001,Exact Match — Brand,4,0,149.57,0,0.0,0.0,USD
2024-01-02,google_ads,GOOG_001,Search — Brand Keywords,conversion,AS_G002,Phrase Match — Brand + Product,4,0,149.57,0,0.0,0.0,USD
2024-01-02,google_ads,GOOG_002,Search — Non-Brand,traffic,AS_G003,Category Keywords,1,0,112.84,0,0.0,0.0,USD
2024-01-02,google_ads,GOOG_002,Search — Non-Brand,traffic,AS_G004,Competitor Keywords,1,0,112.84,0,0.0,0.0,USD
2024-01-02,google_ads,GOOG_002,Search — Non-Brand,traffic,AS_G005,Long-tail Informational,1,0,112.84,0,0.0,0.0,USD
2024-01-02,google_ads,GOOG_003,Display Remarketing,awareness,AS_G006,All Website Visitors — 30d,1,0,76.56,0,0.0,0.0,USD
2024-01-02,google_ads,GOOG_003,Display Remarketing,awareness,AS_G007,YouTube Viewers,1,0,76.56,0,0.0,0.0,USD
2024-01-03,google_ads,GOOG_001,Search — Brand Keywords,conversion,AS_G001,Exact Match — Brand,3,0,128.71,0,0.0,0.0,USD
2024-01-03,google_ads,GOOG_001,Search — Brand Keywords,conversion,AS_G002,Phrase Match — Brand + Product,3,0,128.71,0,0.0,0.0,USD
2024-01-03,google_ads,GOOG_002,Search — Non-Brand,traffic,AS_G003,Category Keywords,2,0,133.82,0,0.0,0.0,USD
