date,channel,campaign_id,campaign_name,objective,ad_set_id,ad_set_name,impressions,clicks,spend,conversions,conversion_value,cpc,currency
2024-01-01,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,6146,164,84.7,2,132.82,0.5165,USD
2024-01-01,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,6146,164,84.7,2,132.82,0.5165,USD
2024-01-01,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,6146,164,84.7,2,132.82,0.5165,USD
2024-01-01,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,4438,203,75.97,8,730.78,0.3742,USD
2024-01-01,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,4438,203,75.97,8,730.78,0.3742,USD
2024-01-01,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,3771,137,70.2,3,224.05,0.5124,USD
2024-01-01,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,3771,137,70.2,3,224.05,0.5124,USD
2024-01-01,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,3771,137,70.2,3,224.05,0.5124,USD
2024-01-02,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,4821,124,86.6,1,47.31,0.6984,USD
2024-01-02,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,4821,124,86.6,1,47.31,0.6984,USD
2024-01-02,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,4821,124,86.6,1,47.31,0.6984,USD
2024-01-02,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,6038,257,88.27,8,692.12,0.3435,USD
2024-01-02,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,6038,257,88.27,8,692.12,0.3435,USD
2024-01-02,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,3835,142,65.52,3,176.8,0.4614,USD
2024-01-02,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,3835,142,65.52,3,176.8,0.4614,USD
2024-01-02,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,3835,142,65.52,3,176.8,0.4614,USD
2024-01-03,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,4779,121,76.93,1,55.54,0.6358,USD
2024-01-03,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,4779,121,76.93,1,55.54,0.6358,USD
2024-01-03,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,4779,121,76.93,1,55.54,0.6358,USD
2024-01-03,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,3855,163,75.79,5,394.84,0.465,USD
2024-01-03,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,3855,163,75.79,5,394.84,0.465,USD
2024-01-03,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,3411,112,59.63,2,118.39,0.5324,USD
2024-01-03,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,3411,112,59.63,2,118.39,0.5324,USD
2024-01-03,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,3411,112,59.63,2,118.39,0.5324,USD
2024-01-04,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,5733,163,84.41,2,79.68,0.5179,USD
2024-01-04,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,5733,163,84.41,2,79.68,0.5179,USD
2024-01-04,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,5733,163,84.41,2,79.68,0.5179,USD
2024-01-04,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,5229,206,88.78,5,275.41,0.431,USD
2024-01-04,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,5229,206,88.78,5,275.41,0.431,USD
2024-01-04,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,3887,138,63.03,2,111.57,0.4567,USD
2024-01-04,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,3887,138,63.03,2,111.57,0.4567,USD
2024-01-04,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,3887,138,63.03,2,111.57,0.4567,USD
2024-01-05,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,5510,149,93.81,1,51.48,0.6296,USD
2024-01-05,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,5510,149,93.81,1,51.48,0.6296,USD
2024-01-05,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,5510,149,93.81,1,51.48,0.6296,USD
2024-01-05,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,5149,203,81.84,5,315.94,0.4032,USD
2024-01-05,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,5149,203,81.84,5,315.94,0.4032,USD
2024-01-05,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,3977,145,62.55,2,86.48,0.4314,USD
2024-01-05,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,3977,145,62.55,2,86.48,0.4314,USD
2024-01-05,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,3977,145,62.55,2,86.48,0.4314,USD
2024-01-06,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,6141,158,86.64,1,41.44,0.5484,USD
2024-01-06,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,6141,158,86.64,1,41.44,0.5484,USD
2024-01-06,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,6141,158,86.64,1,41.44,0.5484,USD
2024-01-06,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,4854,191,89.64,5,295.45,0.4693,USD
2024-01-06,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,4854,191,89.64,5,295.45,0.4693,USD
2024-01-06,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,4726,180,67.77,3,141.76,0.3765,USD
2024-01-06,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,4726,180,67.77,3,141.76,0.3765,USD
2024-01-06,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,4726,180,67.77,3,141.76,0.3765,USD
2024-01-07,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,5907,167,101.48,1,34.14,0.6077,USD
2024-01-07,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,5907,167,101.48,1,34.14,0.6077,USD
2024-01-07,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,5907,167,101.48,1,34.14,0.6077,USD
2024-01-07,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,5713,220,98.39,5,204.79,0.4472,USD
2024-01-07,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,5713,220,98.39,5,204.79,0.4472,USD
2024-01-07,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,4299,146,72.8,2,74.57,0.4986,USD
2024-01-07,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,4299,146,72.8,2,74.57,0.4986,USD
2024-01-07,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,4299,146,72.8,2,74.57,0.4986,USD
2024-01-08,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,4719,135,83.34,1,32.33,0.6173,USD
2024-01-08,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,4719,135,83.34,1,32.33,0.6173,USD
2024-01-08,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,4719,135,83.34,1,32.33,0.6173,USD
2024-01-08,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,4348,173,70.59,3,110.47,0.408,USD
2024-01-08,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,4348,173,70.59,3,110.47,0.408,USD
2024-01-08,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,3937,126,59.06,1,34.09,0.4687,USD
2024-01-08,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,3937,126,59.06,1,34.09,0.4687,USD
2024-01-08,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,3937,126,59.06,1,34.09,0.4687,USD
2024-01-09,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,6348,168,88.12,1,30.3,0.5245,USD
2024-01-09,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,6348,168,88.12,1,30.3,0.5245,USD
2024-01-09,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,6348,168,88.12,1,30.3,0.5245,USD
2024-01-09,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,4423,178,86.15,4,152.3,0.484,USD
2024-01-09,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,4423,178,86.15,4,152.3,0.484,USD
2024-01-09,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,4536,150,65.96,2,74.97,0.4397,USD
2024-01-09,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,4536,150,65.96,2,74.97,0.4397,USD
2024-01-09,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,4536,150,65.96,2,74.97,0.4397,USD
2024-01-10,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,5516,148,78.04,1,38.01,0.5273,USD
2024-01-10,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,5516,148,78.04,1,38.01,0.5273,USD
2024-01-10,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,5516,148,78.04,1,38.01,0.5273,USD
2024-01-10,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,4719,181,85.58,4,192.42,0.4728,USD
2024-01-10,meta,META_002,Retargeting — Website Visitors,conversion,AS_M005,Add to Cart — 14d,4719,181,85.58,4,192.42,0.4728,USD
2024-01-10,meta,META_003,Seasonal Promotions,conversion,AS_M006,Holiday Bundle Promo,4210,155,63.88,2,105.27,0.4121,USD
2024-01-10,meta,META_003,Seasonal Promotions,conversion,AS_M007,Back to School,4210,155,63.88,2,105.27,0.4121,USD
2024-01-10,meta,META_003,Seasonal Promotions,conversion,AS_M008,Summer Sale,4210,155,63.88,2,105.27,0.4121,USD
2024-01-11,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M001,Lookalike 1% — Purchasers,5510,147,80.84,1,46.56,0.5499,USD
2024-01-11,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M002,Interest — Fitness & Wellness,5510,147,80.84,1,46.56,0.5499,USD
2024-01-11,meta,META_001,Brand Awareness Q1-Q4,awareness,AS_M003,Broad 25-44,5510,147,80.84,1,46.56,0.5499,USD
2024-01-11,meta,META_002,Retargeting — Website Visitors,conversion,AS_M004,Viewed Product — 7d,4594,208,78.81,5,266.54,0.3789,USD
