date,channel,campaign_id,campaign_name,objective,ad_set_id,ad_set_name,impressions,clicks,spend,conversions,conversion_value,cpc,currency
2024-01-01,tiktok,TKTK_001,Top-of-Funnel Video Views,awareness,AS_T001,Gen Z Interest Clusters,4,0,80.66,0,0.0,0.0,USD
2024-01-01,tiktok,TKTK_001,Top-of-Funnel Video Views,awareness,AS_T002,Lookalike — Email List,4,0,80.66,0,0.0,0.0,USD
2024-01-01,tiktok,TKTK_002,Spark Ads — UGC Content,traffic,AS_T003,Creator Whitelist,3,0,54.73,0,0.0,0.0,USD
2024-01-01,tiktok,TKTK_002,Spark Ads — UGC Content,traffic,AS_T004,Trending Audio Boost,3,0,54.73,0,0.0,0.0,USD
2024-01-01,tiktok,TKTK_003,Conversion — Product Catalog,conversion,AS_T005,Dynamic Product Ads,6,0,119.45,0,0.0,0.0,USD
2024-01-02,tiktok,TKTK_001,Top-of-Funnel Video Views,awareness,AS_T001,Gen Z Interest Clusters,3,0,69.83,0,0.0,0.0,USD
2024-01-02,tiktok,TKTK_001,Top-of-Funnel Video Views,awareness,AS_T002,Lookalike — Email List,3,0,69.83,0,0.0,0.0,USD
2024-01-02,tiktok,TKTK_002,Spark Ads — UGC Content,traffic,AS_T003,Creator Whitelist,2,0,54.49,0,0.0,0.0,USD
2024-01-02,tiktok,TKTK_002,Spark Ads — UGC Content,traffic,AS_T004,Trending Audio Boost,2,0,54.49,0,0.0,0.0,USD
2024-01-02,tiktok,TKTK_003,Conversion — Product Catalog,conversion,AS_T005,Dynamic Product Ads,7,0,133.54,0,0.0,0.0,USD
2024-01-03,tiktok,TKTK_001,Top-of-Funnel Video Views,awareness,AS_T001,Gen Z Interest Clusters,4,0,89.04,0,0.0,0.0,USD
2024-01-03,tiktok,TKTK_001,Top-of-Funnel Video Views,awareness,AS_T002,Lookalike — Email List,4,0,89.04,0,0.0,0.0,USD
2024-01-03,tiktok,TKTK_002,Spark Ads — UGC Content,traffic,AS_T003,Creator Whitelist,3,0,63.89,0,0.0,0.0,USD
